pre_all_avg,pre_attack_1,pre_attack_1,pre_attack_1,pre_attack_avg,pre_def_1,pre_def_2,pre_def_3,pre_def_4,pre_def_5,pre_def_6,pre_def_6,pre_def_avg,pre_non_sec_1,pre_non_sec_2,pre_non_sec_3,pre_non_sec_avg,pre_skills_1,pre_skills_2,pre_skills_3,pre_skills_avg,post_all_avg,post_attack_1,post_attack_2,post_attack_3,post_attack_avg,post_def_1,post_def_2,post_def_3,post_def_4,post_def_5,post_def_avg,post_non_sec_1,post_non_sec_2,post_non_sec_3,post_non_sec_agv,post_skills_1,post_skills_2,post_skills_3,post_skills_avg,post_attention1,post_attention2,post_attention_avg,post_relevance1,post_relevance2,post_relevance_avg,post_confidence1,post_confidence2,post_confidence_avg,post_satisfaction1,post_satisfaction2,post_satisfaction_avg,post_metacognition1,post_metacognition2,post_metacognition_avg,post_difficulty1,post_difficulty2,post_difficulty_avg,points,duration
0.600,1,0,0,0.333,0,1,1,1,1,0,1,0.667,0,1,1,0.667,0,1,1,0.667,0.867,1,1,1,1.000,1,1,1,1,0,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,5,4,4.5,4,5,4.5,5,5,5,4,4,4,2,2,2,23,00:57:41
0.667,1,0,0,0.333,1,1,0,1,1,1,1,0.833,0,1,1,0.667,1,1,0,0.667,0.933,1,1,1,1.000,1,1,0,1,1,0.833,1,1,1,1.000,1,1,1,1.000,5,4,4.5,4,4,4,4,4,4,4,5,4.5,4,4,4,2,2,2,24,01:15:02
0.533,1,0,0,0.333,0,1,0,1,1,1,0,0.667,1,0,0,0.333,0,1,1,0.667,0.800,1,0,1,0.667,0,1,1,1,1,0.667,1,1,1,1.000,1,1,1,1.000,4,4,4,5,3,4,3,4,3.5,4,2,3,2,2,2,4,4,4,1,01:05:33
0.467,1,1,0,0.667,1,1,0,0,0,1,1,0.500,0,0,0,0.000,1,0,1,0.667,0.600,1,0,1,0.667,0,1,1,0,0,0.500,1,0,0,0.333,1,1,1,1.000,5,4,4.5,4,3,3.5,4,2,3,4,2,3,3,3,3,4,5,4.5,2,01:00:28
0.533,1,0,0,0.333,1,0,1,1,0,1,1,0.667,1,1,0,0.667,1,0,0,0.333,0.933,1,1,1,1.000,1,1,1,1,0,0.833,1,1,1,1.000,1,1,1,1.000,5,5,5,4,4,4,4,4,4,4,3,3.5,4,4,4,3,2,2.5,13,00:58:15
0.733,1,1,0,0.667,1,1,1,1,0,1,1,0.833,1,1,0,0.667,1,1,0,0.667,0.867,1,1,1,1.000,1,1,1,1,0,0.833,1,1,0,0.667,1,1,1,1.000,4,5,4.5,4,3,3.5,5,5,5,4,4,4,5,4,4.5,1,1,1,22,00:48:06
0.800,1,1,1,1.000,1,1,1,1,1,1,1,1.000,1,1,0,0.667,0,0,1,0.333,0.867,1,1,1,1.000,1,1,1,1,1,1.000,1,1,0,0.667,0,1,1,0.667,5,5,5,4,3,3.5,4,5,4.5,4,4,4,4,3,3.5,2,2,2,21,00:58:37
0.400,0,0,1,0.333,0,1,0,0,0,0,1,0.167,1,1,1,1.000,0,0,1,0.333,0.667,1,0,1,0.667,1,0,1,0,0,0.500,1,1,0,0.667,1,1,1,1.000,4,4,4,4,3,3.5,3,2,2.5,2,2,2,4,4,4,4,2,3,-1,01:01:33
0.600,1,0,0,0.333,1,1,1,0,1,0,1,0.667,1,1,0,0.667,1,1,0,0.667,0.933,1,1,1,1.000,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,,,,,,,,,,,,,,,,,,,7,01:11:56
0.400,0,1,0,0.333,0,1,0,0,0,1,1,0.333,1,0,0,0.333,1,0,1,0.667,0.933,1,1,1,1.000,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,4,5,4.5,4,3,3.5,4,4,4,5,3,4,4,3,3.5,2,2,2,18,01:06:03
0.533,1,1,0,0.667,0,0,1,0,0,1,1,0.333,1,1,0,0.667,1,0,1,0.667,0.667,1,1,1,1.000,1,0,0,0,0,0.333,1,1,0,0.667,1,1,1,1.000,5,4,4.5,5,4,4.5,3,4,3.5,4,3,3.5,4,4,4,3,3,3,19,01:26:23
0.467,1,0,1,0.667,1,1,0,1,0,0,1,0.500,1,1,0,0.667,0,0,0,0.000,0.867,1,1,1,1.000,1,1,0,1,1,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,4,4,4,4,5,4.5,5,5,5,5,5,5,1,1,1,21,01:02:13
0.267,1,0,0,0.333,1,0,1,0,0,0,1,0.333,1,0,0,0.333,0,0,0,0.000,0.800,1,1,1,1.000,0,1,0,1,0,0.500,1,1,1,1.000,1,1,1,1.000,5,5,5,5,4,4.5,4,4,4,5,4,4.5,5,4,4.5,3,1,2,17,01:06:33
0.800,1,1,0,0.667,1,1,1,1,1,1,1,1.000,1,0,1,0.667,1,1,0,0.667,1.000,1,1,1,1.000,1,1,1,1,1,1.000,1,1,1,1.000,1,1,1,1.000,4,5,4.5,3,4,3.5,3,4,3.5,4,3,3.5,3,4,3.5,3,3,3,17,01:10:37
0.600,1,0,0,0.333,1,1,1,1,1,1,0,1.000,1,0,0,0.333,0,0,1,0.333,0.800,1,1,1,1.000,1,1,1,1,0,0.667,1,1,0,0.667,1,1,1,1.000,5,5,5,5,4,4.5,4,4,4,4,4,4,4,3,3.5,3,2,2.5,13,
0.333,1,1,1,1.000,0,0,0,1,0,0,1,0.167,0,0,0,0.000,1,0,0,0.333,0.733,1,1,1,1.000,1,1,0,1,1,0.833,0,0,0,0.000,1,1,1,1.000,4,3,3.5,4,3,3.5,3,4,3.5,3,3,3,3,4,3.5,3,3,3,3,01:17:36
0.533,1,0,0,0.333,1,1,1,1,0,1,1,0.833,1,1,0,0.667,0,0,0,0.000,0.867,1,1,1,1.000,1,1,1,1,0,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,5,4,4.5,4,4,4,4,4,4,4,4,4,2,2,2,17,
0.533,1,1,0,0.667,1,0,1,1,0,0,0,0.500,0,0,0,0.000,1,1,1,1.000,0.600,1,0,1,0.667,0,0,1,1,0,0.333,1,1,0,0.667,1,1,1,1.000,5,5,5,4,5,4.5,4,4,4,5,3,4,4,5,4.5,3,3,3,6,01:20:44
0.667,1,1,0,0.667,1,1,0,1,0,1,1,0.667,1,1,0,0.667,1,1,0,0.667,0.800,1,1,0,0.667,1,1,1,1,1,1.000,0,1,0,0.333,1,1,1,1.000,4,5,4.5,5,3,4,4,4,4,4,3,3.5,3,4,3.5,2,2,2,15,01:00:01
0.733,1,1,1,1.000,0,1,1,1,0,1,1,0.667,1,1,0,0.667,1,1,0,0.667,0.867,1,1,1,1.000,1,1,0,1,1,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,4,4,4,4,4,4,5,4,4.5,4,4,4,3,2,2.5,20,01:02:32
0.400,1,0,0,0.333,0,1,0,1,0,1,1,0.500,0,1,0,0.333,0,0,1,0.333,0.933,1,1,1,1.000,1,1,1,1,0,0.833,1,1,1,1.000,1,1,1,1.000,4,5,4.5,4,4,4,4,4,4,5,3,4,4,5,4.5,4,2,3,17,01:01:38
0.400,1,0,0,0.333,0,1,0,1,0,1,1,0.500,0,1,0,0.333,1,0,0,0.333,0.867,1,1,1,1.000,1,1,1,1,1,1.000,0,1,0,0.333,1,1,1,1.000,5,4,4.5,3,3,3,4,3,3.5,4,4,4,4,3,3.5,2,2,2,18,00:58:48
0.667,1,1,0,0.667,1,0,1,1,1,1,1,0.833,0,1,0,0.333,0,1,1,0.667,0.867,1,1,1,1.000,1,1,0,1,1,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,5,5,5,3,4,3.5,4,3,3.5,4,5,4.5,3,4,3.5,17,
0.467,1,0,1,0.667,1,1,1,0,0,1,1,0.667,0,0,0,0.000,0,1,0,0.333,0.800,1,1,1,1.000,1,1,1,1,0,0.833,0,1,0,0.333,1,1,1,1.000,4,5,4.5,2,3,2.5,4,4,4,4,4,4,3,4,3.5,2,1,1.5,14,00:57:49
0.733,1,1,1,1.000,0,1,0,1,1,1,1,0.667,1,1,0,0.667,1,1,0,0.667,0.933,1,1,1,1.000,1,1,0,1,1,0.833,1,1,1,1.000,1,1,1,1.000,4,5,4.5,3,3,3,3,4,3.5,2,1,1.5,5,3,4,2,3,2.5,15,01:03:54
0.400,1,0,0,0.333,1,0,1,1,0,1,1,0.667,0,0,0,0.000,0,1,0,0.333,0.733,1,1,0,0.667,1,0,0,1,1,0.667,1,0,1,0.667,1,1,1,1.000,3,4,3.5,4,4,4,4,4,4,3,3,3,4,4,4,2,2,2,14,
0.733,1,0,0,0.333,1,1,1,1,1,1,1,1.000,1,1,0,0.667,1,1,0,0.667,0.800,1,0,0,0.333,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,4,5,4.5,4,3,3.5,4,4,4,4,4,4,3,4,3.5,3,2,2.5,18,
0.467,1,0,0,0.333,1,1,1,1,0,1,1,0.833,0,1,0,0.333,0,0,0,0.000,0.867,1,1,1,1.000,1,1,1,1,0,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,5,4,4.5,2,4,3,5,4,4.5,5,3,4,4,3,3.5,19,00:57:21
0.667,1,1,0,0.667,1,0,1,1,0,1,1,0.667,1,1,0,0.667,1,0,1,0.667,0.867,1,1,1,1.000,1,1,1,1,0,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,4,3,3.5,4,4,4,4,3,3.5,4,4,4,2,2,2,16,
0.733,1,1,1,1.000,1,1,1,1,0,1,1,0.833,1,1,0,0.667,1,0,0,0.333,0.933,1,1,1,1.000,1,1,1,1,0,0.833,1,1,1,1.000,1,1,1,1.000,5,5,5,5,4,4.5,5,5,5,4,4,4,5,5,5,1,2,1.5,22,00:50:30
0.800,1,1,0,0.667,1,1,1,1,0,1,1,0.833,1,1,1,1.000,1,1,0,0.667,0.867,1,1,0,0.667,1,1,1,1,1,1.000,1,1,1,1.000,0,1,1,0.667,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4.5,1,1,1,24,00:31:21
0.600,1,0,0,0.333,1,0,1,1,1,1,1,0.833,0,1,1,0.667,0,1,0,0.333,0.867,1,1,1,1.000,1,1,1,1,1,1.000,0,1,0,0.333,1,1,1,1.000,5,5,5,4,4,4,2,2,2,4,2,3,4,4,4,4,4,4,13,
1.000,1,1,1,1.000,1,1,1,1,1,1,1,1.000,1,1,1,1.000,1,1,1,1.000,1.000,1,1,1,1.000,1,1,1,1,1,1.000,1,1,1,1.000,1,1,1,1.000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,21,00:40:22
0.933,1,0,1,0.667,1,1,1,1,1,1,1,1.000,1,1,1,1.000,1,1,1,1.000,0.867,1,0,1,0.667,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,5,5,5,5,4,4.5,4,5,4.5,5,4,4.5,5,5,5,2,1,1.5,22,
0.733,1,1,0,0.667,1,0,1,1,1,1,1,0.833,1,1,1,1.000,0,1,0,0.333,1.000,1,1,1,1.000,1,1,1,1,1,1.000,1,1,1,1.000,1,1,1,1.000,5,5,5,5,4,4.5,5,5,5,3,4,3.5,5,4,4.5,2,1,1.5,18,
0.733,1,0,1,0.667,1,1,1,1,1,1,1,1.000,1,1,0,0.667,0,1,0,0.333,0.867,1,0,0,0.333,1,1,1,1,1,1.000,1,1,1,1.000,1,1,1,1.000,3,5,4,3,3,3,5,4,4.5,4,4,4,5,5,5,1,1,1,20,00:20:20
0.733,1,1,1,1.000,1,1,1,1,1,1,1,1.000,1,0,0,0.333,0,1,0,0.333,0.867,1,0,1,0.667,1,1,1,1,1,1.000,1,1,1,1.000,0,1,1,0.667,4,5,4.5,5,5,5,5,4,4.5,3,5,4,5,5,5,2,2,2,23,00:38:21
0.867,1,1,1,1.000,1,1,1,1,0,1,1,0.833,1,1,1,1.000,1,1,0,0.667,0.933,1,1,1,1.000,1,1,1,1,0,0.833,1,1,1,1.000,1,1,1,1.000,4,5,4.5,4,4,4,4,5,4.5,4,3,3.5,5,5,5,2,3,2.5,20,00:59:32
0.533,1,0,1,0.667,1,1,1,1,0,0,1,0.667,0,0,0,0.000,1,1,0,0.667,0.867,1,1,1,1.000,1,1,0,0,1,0.667,1,1,1,1.000,1,1,1,1.000,4,4,4,3,3,3,3,4,3.5,4,2,3,3,2,2.5,3,4,3.5,12,00:44:20
0.867,1,1,1,1.000,1,1,1,0,1,1,1,0.833,1,1,0,0.667,1,1,1,1.000,0.867,1,1,1,1.000,1,1,1,0,1,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,4,3,3.5,4,3,3.5,4,2,3,4,4,4,4,3,3.5,23,
